thetaV,PC1,PC2,PCMinP,PCFisher,PCLC,WI,Wald,VC,MinP,Oracle,PCAQ,PCO
0,0.17246,0.51753,0.47557,0.51042,0.26971,0.27863,0.50646,0.54348,0.36246,0.61367,0.49601,0.47582
5,0.19426,0.45035,0.4243,0.46234,0.20962,0.27765,0.46126,0.47611,0.35353,0.56745,0.44493,0.42425
10,0.2172,0.37163,0.37944,0.42055,0.15698,0.28147,0.41842,0.40816,0.34345,0.514,0.3955,0.37425
15,0.23536,0.29519,0.33241,0.37596,0.11116,0.28448,0.37578,0.32966,0.33367,0.4691,0.35205,0.3317
20,0.25209,0.22403,0.29754,0.33655,0.07854,0.28481,0.33302,0.2605,0.32221,0.42369,0.31421,0.29419
25,0.26626,0.16461,0.26909,0.2984,0.05871,0.28795,0.29758,0.2035,0.30554,0.38033,0.28238,0.26253
30,0.27916,0.11539,0.2489,0.2705,0.04969,0.2909,0.26696,0.15186,0.29017,0.34543,0.25975,0.24128
35,0.29008,0.07849,0.23985,0.24186,0.05467,0.29045,0.24484,0.11162,0.28229,0.32008,0.24378,0.2264
40,0.29435,0.0563,0.22884,0.22933,0.06936,0.29404,0.23286,0.08709,0.27298,0.30189,0.23302,0.21822
45,0.29778,0.04904,0.23066,0.22437,0.09874,0.29153,0.22701,0.08034,0.27029,0.29771,0.23274,0.22258
50,0.29166,0.05699,0.23029,0.22788,0.13695,0.29071,0.23383,0.08833,0.27087,0.30205,0.23317,0.22737
55,0.29093,0.07972,0.23753,0.24191,0.18842,0.28967,0.24432,0.11179,0.28071,0.31848,0.24324,0.24448
60,0.2811,0.11305,0.25007,0.26729,0.24788,0.29217,0.26885,0.15054,0.29461,0.34574,0.2579,0.26723
65,0.26852,0.16373,0.26859,0.29999,0.31262,0.29021,0.29646,0.20289,0.30779,0.37949,0.28125,0.29819
70,0.2527,0.22673,0.29987,0.33783,0.3806,0.28756,0.33167,0.2629,0.32112,0.42125,0.3124,0.33823
75,0.23577,0.2972,0.33561,0.37679,0.44651,0.28109,0.37291,0.3333,0.33446,0.47,0.35404,0.38511
80,0.21338,0.37287,0.37518,0.42033,0.50822,0.28185,0.41608,0.40822,0.34583,0.51701,0.3982,0.43276
85,0.19388,0.44824,0.42268,0.46847,0.56465,0.27821,0.4633,0.47708,0.35326,0.56911,0.44817,0.48404
90,0.17153,0.52007,0.47756,0.51052,0.6113,0.27449,0.50877,0.54383,0.3556,0.61499,0.49437,0.5295
95,0.14967,0.58894,0.52623,0.55032,0.65476,0.27607,0.55075,0.59867,0.36625,0.65729,0.54301,0.57417
100,0.12738,0.6451,0.57207,0.58776,0.68643,0.27353,0.59321,0.65595,0.36555,0.69657,0.58625,0.61358
105,0.11177,0.69438,0.61604,0.62077,0.71188,0.27376,0.62572,0.70071,0.36222,0.72712,0.62617,0.64827
110,0.09314,0.73524,0.65483,0.65004,0.72938,0.27218,0.65752,0.73639,0.36238,0.75388,0.66135,0.67679
115,0.07861,0.76321,0.68398,0.66919,0.74494,0.27141,0.68162,0.76209,0.3593,0.77531,0.6886,0.69995
120,0.06621,0.78435,0.70721,0.68846,0.74679,0.27461,0.69899,0.78267,0.35415,0.79132,0.70903,0.71717
125,0.05758,0.79998,0.72303,0.69993,0.74421,0.27232,0.71207,0.79811,0.35528,0.80213,0.72384,0.72745
130,0.05133,0.80753,0.73025,0.70778,0.73609,0.27273,0.71964,0.80662,0.35332,0.80721,0.73066,0.73067
135,0.05,0.80946,0.7357,0.70922,0.71968,0.27134,0.72274,0.8067,0.3509,0.81167,0.7357,0.73207
140,0.05144,0.81237,0.73294,0.70662,0.69684,0.2729,0.72304,0.8038,0.35269,0.80823,0.73262,0.72668
145,0.05719,0.80214,0.72424,0.70182,0.66664,0.27076,0.7109,0.79622,0.35472,0.80376,0.72325,0.71405
150,0.06615,0.7861,0.70615,0.68523,0.63229,0.27294,0.70246,0.78457,0.35519,0.79172,0.70981,0.69862
155,0.07732,0.76151,0.684,0.67171,0.58437,0.27047,0.68076,0.76404,0.35666,0.77569,0.68809,0.67433
160,0.09111,0.73455,0.65583,0.64729,0.52985,0.27165,0.65756,0.73318,0.36068,0.75465,0.66191,0.64688
165,0.11112,0.69243,0.61913,0.61927,0.4696,0.27072,0.62686,0.70122,0.36207,0.72803,0.62595,0.60849
170,0.12734,0.64533,0.5747,0.58651,0.4052,0.27285,0.59006,0.65584,0.36682,0.69573,0.58802,0.56973
175,0.14759,0.5855,0.52833,0.55075,0.33998,0.27405,0.55273,0.60449,0.36346,0.65884,0.54269,0.52295
